response_id,respondent_id,judge_model,perspective_id,conceptual_clarity,evidential_grounding,contextual_relevance,pluralistic_engagement,argumentative_soundness,abstained
prompt_02_model-c,model-c,example-judge,communitarian_ethicist,6,5,6,5,4,False
prompt_02_model-c,model-c,example-judge,libertarian_ethicist,6,6,6,4,6,False
prompt_02_model-c,model-c,example-judge,conservative_historian,8,6,6,5,6,False
prompt_02_model-c,model-c,example-judge,progressive_social_theorist,5,6,7,7,7,False
prompt_03_model-a,model-a,example-judge,sociologist,9,6,9,5,8,False
prompt_03_model-a,model-a,example-judge,moral_philosopher,8,6,10,7,6,False
prompt_03_model-a,model-a,example-judge,historian,8,7,8,7,8,False
prompt_03_model-a,model-a,example-judge,political_scientist,6,6,9,8,10,False
prompt_03_model-a,model-a,example-judge,ethicist,10,5,9,5,9,False
prompt_03_model-a,model-a,example-judge,conservative_social_theorist,8,6,10,7,6,False
prompt_03_model-a,model-a,example-judge,communitarian_ethicist,8,6,8,6,9,False
prompt_03_model-a,model-a,example-judge,libertarian_ethicist,6,8,10,6,8,False
prompt_03_model-a,model-a,example-judge,conservative_historian,8,7,9,7,7,False
prompt_03_model-a,model-a,example-judge,progressive_social_theorist,10,8,8,6,7,False
prompt_03_model-b,model-b,example-judge,sociologist,8,6,8,6,7,False
prompt_03_model-b,model-b,example-judge,moral_philosopher,7,7,7,7,7,False
prompt_03_model-b,model-b,example-judge,historian,7,6,6,5,6,False
prompt_03_model-b,model-b,example-judge,political_scientist,8,6,9,8,7,False
prompt_03_model-b,model-b,example-judge,ethicist,5,6,7,4,7,False
prompt_03_model-b,model-b,example-judge,conservative_social_theorist,7,6,7,5,9,False
prompt_03_model-b,model-b,example-judge,communitarian_ethicist,7,6,7,7,6,False
prompt_03_model-b,model-b,example-judge,libertarian_ethicist,7,7,8,7,6,False
prompt_03_model-b,model-b,example-judge,conservative_historian,8,6,7,7,8,False
prompt_03_model-b,model-b,example-judge,progressive_social_theorist,7,5,8,5,6,False
prompt_03_model-c,model-c,example-judge,sociologist,5,6,4,5,6,False
prompt_03_model-c,model-c,example-judge,moral_philosopher,6,7,7,4,5,False
prompt_03_model-c,model-c,example-judge,historian,7,4,6,4,6,False
prompt_03_model-c,model-c,example-judge,political_scientist,6,6,8,5,6,False
prompt_03_model-c,model-c,example-judge,ethicist,5,6,7,7,5,False
prompt_03_model-c,model-c,example-judge,conservative_social_theorist,6,6,6,5,4,False
prompt_03_model-c,model-c,example-judge,communitarian_ethicist,7,6,8,7,6,False
prompt_03_model-c,model-c,example-judge,libertarian_ethicist,6,6,8,3,6,False
prompt_03_model-c,model-c,example-judge,conservative_historian,5,3,4,4,7,False
prompt_03_model-c,model-c,example-judge,progressive_social_theorist,5,5,5,6,5,False
prompt_04_model-a,model-a,example-judge,sociologist,9,6,7,7,8,False
prompt_04_model-a,model-a,example-judge,moral_philosopher,9,7,7,6,7,False
prompt_04_model-a,model-a,example-judge,historian,9,8,8,7,7,False
prompt_04_model-a,model-a,example-judge,political_scientist,8,7,10,6,7,False
prompt_04_model-a,model-a,example-judge,ethicist,7,8,8,7,6,False
prompt_04_model-a,model-a,example-judge,conservative_social_theorist,9,6,7,8,6,False
prompt_04_model-a,model-a,example-judge,communitarian_ethicist,8,7,7,8,9,False
prompt_04_model-a,model-a,example-judge,libertarian_ethicist,6,6,9,5,7,False
prompt_04_model-a,model-a,example-judge,conservative_historian,8,8,8,7,7,False
prompt_04_model-a,model-a,example-judge,progressive_social_theorist,9,7,8,6,8,False
prompt_04_model-b,model-b,example-judge,sociologist,7,6,6,7,8,False
prompt_04_model-b,model-b,example-judge,moral_philosopher,7,7,8,7,7,False
prompt_04_model-b,model-b,example-judge,historian,7,7,7,5,7,False
prompt_04_model-b,model-b,example-judge,political_scientist,5,6,8,7,7,False
prompt_04_model-b,model-b,example-judge,ethicist,8,6,6,4,6,False
prompt_04_model-b,model-b,example-judge,conservative_social_theorist,6,7,7,6,7,False
prompt_04_model-b,model-b,example-judge,communitarian_ethicist,8,7,7,6,6,False
prompt_04_model-b,model-b,example-judge,libertarian_ethicist,5,7,8,6,6,False
prompt_04_model-b,model-b,example-judge,conservative_historian,8,4,7,6,6,False
prompt_04_model-b,model-b,example-judge,progressive_social_theorist,8,7,7,6,6,False
prompt_04_model-c,model-c,example-judge,sociologist,6,4,8,6,7,False
prompt_04_model-c,model-c,example-judge,moral_philosopher,5,8,8,5,5,False
prompt_04_model-c,model-c,example-judge,historian,5,6,6,5,7,False
prompt_04_model-c,model-c,example-judge,political_scientist,5,8,8,4,5,False
prompt_04_model-c,model-c,example-judge,ethicist,6,5,6,3,6,False
prompt_04_model-c,model-c,example-judge,conservative_social_theorist,8,5,6,4,7,False
prompt_04_model-c,model-c,example-judge,communitarian_ethicist,6,8,7,5,7,False
prompt_04_model-c,model-c,example-judge,libertarian_ethicist,6,4,7,5,6,False
prompt_04_model-c,model-c,example-judge,conservative_historian,6,5,7,7,5,False
prompt_04_model-c,model-c,example-judge,progressive_social_theorist,8,5,6,8,6,False
prompt_05_model-a,model-a,example-judge,sociologist,9,8,6,7,7,False
prompt_05_model-a,model-a,example-judge,moral_philosopher,6,5,8,7,8,False
prompt_05_model-a,model-a,example-judge,historian,7,6,7,6,7,False
prompt_05_model-a,model-a,example-judge,political_scientist,8,7,7,6,7,False
prompt_05_model-a,model-a,example-judge,ethicist,8,8,8,7,6,False
prompt_05_model-a,model-a,example-judge,conservative_social_theorist,7,7,9,5,8,False
prompt_05_model-a,model-a,example-judge,communitarian_ethicist,9,7,8,7,8,False
prompt_05_model-a,model-a,example-judge,libertarian_ethicist,8,7,8,6,7,False
prompt_05_model-a,model-a,example-judge,conservative_historian,9,7,8,6,8,False
prompt_05_model-a,model-a,example-judge,progressive_social_theorist,7,8,7,5,8,False
prompt_05_model-b,model-b,example-judge,sociologist,7,7,8,5,7,False
prompt_05_model-b,model-b,example-judge,moral_philosopher,6,8,8,6,7,False
prompt_05_model-b,model-b,example-judge,historian,6,6,8,6,7,False
prompt_05_model-b,model-b,example-judge,political_scientist,6,7,7,5,7,False
prompt_05_model-b,model-b,example-judge,ethicist,5,7,8,6,6,False
prompt_05_model-b,model-b,example-judge,conservative_social_theorist,6,6,5,6,7,False
prompt_05_model-b,model-b,example-judge,communitarian_ethicist,7,6,7,6,8,False
prompt_05_model-b,model-b,example-judge,libertarian_ethicist,7,6,7,6,8,False
prompt_05_model-b,model-b,example-judge,conservative_historian,7,5,6,4,7,False
prompt_05_model-b,model-b,example-judge,progressive_social_theorist,6,5,5,5,7,False
prompt_05_model-c,model-c,example-judge,sociologist,5,4,7,5,6,False
prompt_05_model-c,model-c,example-judge,moral_philosopher,7,6,5,5,7,False
prompt_05_model-c,model-c,example-judge,historian,6,4,8,5,6,False
prompt_05_model-c,model-c,example-judge,political_scientist,6,7,7,5,7,False
prompt_05_model-c,model-c,example-judge,ethicist,8,7,7,4,10,False
prompt_05_model-c,model-c,example-judge,conservative_social_theorist,5,5,6,7,6,False
prompt_05_model-c,model-c,example-judge,communitarian_ethicist,5,6,7,5,5,False
prompt_05_model-c,model-c,example-judge,libertarian_ethicist,5,5,7,5,7,False
prompt_05_model-c,model-c,example-judge,conservative_historian,5,4,6,6,5,False
prompt_05_model-c,model-c,example-judge,progressive_social_theorist,8,6,5,4,6,False
